Disconnect Type,April,May,June,Total
Successful,971,1693,1852,4516
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,245,492,583,1320
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,206,315,318,839
Failed,153,229,243,625
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Ethics ATTY Direct to Queue; Ethics Attorney In-Queue Flow,88,145,133,366
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,68,110,140,318
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow,14,85,132,231
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu,41,54,71,166
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,44,66,50,160
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow,43,47,40,130
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,15,39,45,99
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Practice Resource Center Menu Schedule Check; Practice Resource Center Menu; Practice Resource Center In-Queue Flow,23,18,47,88
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,24,30,31,85
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Membership Records Direct to Queue; Membership Records In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,16,31,30,77
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,19,26,26,71
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,9,18,16,43
Accounting Menu Schedule Check; Accounting Menu Flow; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,5,15,20,40
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow; Membership Records In-Queue Call Flow,10,15,13,38
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,8,17,12,37
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Membership Records In-Queue Call Flow,9,11,14,34
