Path,Count
MEMBERSHIP RECORDS,1482
LEGAL SPEC,877
ETHICS ATTY,372
ACCOUNTING,335
FEE SEASON,242
SWITCHBOARD,195
DD LEGAL,146
SWITCHBOARD ->  MEMBERSHIP RECORDS,129
MEMBERSHIP RECORDS ->  LEGAL SPEC,112
PRACTICE RESOURCE CENTER,102
DD LEGAL ->  ACAP PAs,86
FEE SEASON ->  ACCOUNTING,72
DD LEGAL ->  MEMBERSHIP RECORDS,48
ACCOUNTING ->  LEGAL SPEC,47
SWITCHBOARD ->  ACCOUNTING,44
LEGAL SPEC ->  ACCOUNTING,44
SWITCHBOARD ->  LEGAL SPEC,41
LEGAL SPEC ->  MEMBERSHIP RECORDS,37
ACCOUNTING ->  MEMBERSHIP RECORDS,36
WEBSITE,28
PRACTICE RESOURCE CENTER ->  MEMBERSHIP RECORDS,27
DD LEGAL ->  ETHICS ATTY,26
MEMBERSHIP RECORDS ->  ACCOUNTING,21
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS,18
ETHICS SPT,18
SWITCHBOARD ->  ACAP PAs,16
SWITCHBOARD ->  FEE SEASON,15
DD LEGAL ->  LRS,13
SWITCHBOARD ->  ETHICS ATTY,12
MEMBERSHIP RECORDS ->  DD LEGAL,12
DD LEGAL ->  ACAP PAs ->  ACAP ATTY,12
DD LEGAL ->  LEGAL SPEC,11
SWITCHBOARD ->  DD LEGAL,11
MEMBERSHIP RECORDS ->  ETHICS ATTY,10
FEE SEASON ->  LEGAL SPEC,10
ETHICS ATTY ->  ACAP PAs,9
SWITCHBOARD ->  WEBSITE,9
MEMBERSHIP RECORDS ->  SERVICE DESK,8
PRACTICE RESOURCE CENTER ->  LEGAL SPEC,8
PRACTICE RESOURCE CENTER ->  DD LEGAL,8
DD LEGAL ->  AHC,8
FEE SEASON ->  ACCOUNTING ->  LEGAL SPEC,8
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  LEGAL SPEC,7
ETHICS ATTY ->  DD LEGAL,7
SWITCHBOARD ->  LRS,7
LEGAL SPEC ->  FEE SEASON ->  ACCOUNTING,7
ETHICS ATTY ->  ETHICS SPT,6
PRACTICE RESOURCE CENTER ->  ETHICS ATTY,6
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  DD LEGAL,6
SWITCHBOARD ->  AHC,6
PRACTICE RESOURCE CENTER ->  ACCOUNTING,6
MEMBERSHIP RECORDS ->  ACCOUNTING ->  LEGAL SPEC,5
ETHICS ATTY ->  MEMBERSHIP RECORDS,5
LRS,5
LEGAL SPEC ->  ACCOUNTING ->  MEMBERSHIP RECORDS,5
MEMBERSHIP RECORDS ->  PRACTICE RESOURCE CENTER,5
PRACTICE RESOURCE CENTER ->  ACCOUNTING ->  MEMBERSHIP RECORDS,5
SWITCHBOARD ->  PRACTICE RESOURCE CENTER,5
DD LEGAL ->  OPERATOR ORLANDO,4
MEMBERSHIP RECORDS ->  ACAP PAs,4
SWITCHBOARD ->  LEGAL SPEC ->  ACCOUNTING,4
PRACTICE RESOURCE CENTER ->  WEBSITE,4
PRACTICE RESOURCE CENTER ->  AHC,4
DD LEGAL ->  ACCOUNTING,4
LEGAL SPEC ->  FEE SEASON,3
DD LEGAL ->  LEGAL SPEC ->  ACCOUNTING,3
DD LEGAL ->  OPERATOR TAMPA,3
PRACTICE RESOURCE CENTER ->  FEE SEASON,3
ACCOUNTING ->  MEMBERSHIP RECORDS ->  LEGAL SPEC,3
DD LEGAL ->  OPERATOR FT LAUDERDALE,2
DD LEGAL ->  MEMBERSHIP RECORDS ->  ACCOUNTING,2
SWITCHBOARD ->  SERVICE DESK,2
DD LEGAL ->  ETHICS ATTY ->  ETHICS SPT,2
LEGAL SPEC ->  MEMBERSHIP RECORDS ->  DD LEGAL,2
SWITCHBOARD ->  ACCOUNTING ->  DD LEGAL,2
FEE SEASON ->  ACCOUNTING ->  MEMBERSHIP RECORDS,2
MEMBERSHIP RECORDS ->  DD LEGAL ->  ACAP PAs,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACCOUNTING,2
PRACTICE RESOURCE CENTER ->  SERVICE DESK,2
SWITCHBOARD ->  ACCOUNTING ->  SERVICE DESK,2
ETHICS ATTY ->  ACAP PAs ->  ACAP ATTY,2
PRACTICE RESOURCE CENTER ->  SWITCHBOARD,2
SWITCHBOARD ->  FEE SEASON ->  ACCOUNTING,2
DD LEGAL ->  MEMBERSHIP RECORDS ->  PRACTICE RESOURCE CENTER,2
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS ->  PRACTICE RESOURCE CENTER,2
ACCOUNTING ->  DD LEGAL,2
DD LEGAL ->  SERVICE DESK,2
ETHICS ATTY ->  DD LEGAL ->  ACAP PAs,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  DD LEGAL ->  ACAP PAs ->  ACAP ATTY,2
SWITCHBOARD ->  DD LEGAL ->  OPERATOR TAMPA,1
DD LEGAL ->  SWITCHBOARD,1
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  DD LEGAL,1
LRS ->  DD LEGAL ->  ACAP PAs,1
ACCOUNTING ->  PRACTICE RESOURCE CENTER,1
SWITCHBOARD ->  LEGAL SPEC ->  FEE SEASON ->  ACCOUNTING,1
MEMBERSHIP RECORDS ->  DD LEGAL ->  LEGAL SPEC,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  LEGAL SPEC ->  ETHICS ATTY,1
LEGAL SPEC ->  MEMBERSHIP RECORDS ->  ACCOUNTING,1
FEE SEASON ->  PRACTICE RESOURCE CENTER,1
PRACTICE RESOURCE CENTER ->  ETHICS ATTY ->  ETHICS SPT,1
FEE SEASON ->  LEGAL SPEC ->  ACCOUNTING,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACCOUNTING ->  LEGAL SPEC,1
LEGAL SPEC ->  FEE SEASON ->  MEMBERSHIP RECORDS,1
LEGAL SPEC ->  WEBSITE,1
SWITCHBOARD ->  ACCOUNTING ->  LEGAL SPEC,1
MEMBERSHIP RECORDS ->  ETHICS ATTY ->  ACAP PAs ->  ACAP ATTY,1
PRACTICE RESOURCE CENTER ->  DD LEGAL ->  MEMBERSHIP RECORDS,1
ACAP PAs,1
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  LEGAL SPEC,1
DD LEGAL ->  MEMBERSHIP RECORDS ->  ETHICS ATTY,1
LEGAL SPEC ->  ACAP PAs ->  DD LEGAL,1
MEMBERSHIP RECORDS ->  LRS SPANISH,1
MEMBERSHIP RECORDS ->  ETHICS SPT ->  ETHICS ATTY,1
PRACTICE RESOURCE CENTER ->  MEMBERSHIP RECORDS ->  LEGAL SPEC ->  ACCOUNTING,1
MEMBERSHIP RECORDS ->  ETHICS ATTY ->  LEGAL SPEC,1
WEBSITE ->  LEGAL SPEC,1
MEMBERSHIP RECORDS ->  DD LEGAL ->  AHC,1
DD LEGAL ->  LEGAL SPEC ->  MEMBERSHIP RECORDS,1
DD LEGAL ->  SERVICE DESK ->  LEGAL SPEC,1
ACCOUNTING ->  MEMBERSHIP RECORDS ->  ETHICS ATTY,1
ACAP PAs ->  ACCOUNTING ->  MEMBERSHIP RECORDS,1
DD LEGAL ->  FEE SEASON,1
MEMBERSHIP RECORDS ->  LEGAL SPEC ->  ACCOUNTING,1
ACCOUNTING ->  ETHICS ATTY,1
LEGAL SPEC ->  ETHICS ATTY,1
