Disconnect Type,April,May,June,Total
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu,138,129,157,424
AllFlow_1,76,69,109,254
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Examiners Schedule Check; Bar Examiners Menu,6,3,5,14
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,1,1,3,5
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Bar Examiners Schedule Check; Bar Examiners Menu,1,1,1,3
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,1,1,1,3
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,2,0,0,2
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,1,1,0,2
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; LRS Spanish Direct to Queue; Lawyer Referral Service Spanish In-Queue Flow,0,1,1,2
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service English In-Queue Flow,0,1,1,2
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,1,0,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu,1,0,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,1,0,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Bar Examiners Schedule Check; Bar Examiners Menu; LRS Main Menu (Spanish or English); LRS English Main Menu; LRS English Direct to Queue; Lawyer Referral Service English In-Queue Flow; DD Legal Schedule Check; DD Legal Menu Flow; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow; Operator - Tampa Final,1,0,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; UPL Menu Schedule Check; UPL Menu; AHC Direct to Queue; AHC In-Queue Call Flow,0,1,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; LSE Menu Schedule Check; LSE Menu; Bar Examiners Schedule Check; Bar Examiners Menu,0,1,0,1
LSE Menu Schedule Check; LSE Menu; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu,0,1,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Bar Examiners Schedule Check; Bar Examiners Menu,0,1,0,1
Miami Switchboard Schedule Check; Miami Branch Menu; ACAP PA Direct to Queue; ACAP PA Queue 8-9 5-530; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu,0,1,0,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,0,0,1,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,0,0,1,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check,0,0,1,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow; Division Director Legal In-Queue Flow,0,0,1,1
Accounting Menu Schedule Check; Accounting Menu Flow; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu,0,0,1,1
ACAP Menu Schedule Check; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; ACAP PA Direct to Queue; Bar Examiners Schedule Check; Bar Examiners Menu,0,0,1,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Bar Examiners Schedule Check; Bar Examiners Menu,0,0,1,1
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Examiners Schedule Check; Bar Examiners Menu; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow,0,0,1,1
