Path,April,May,June,Total,Pct Of Total
LRS SPANISH,840,1086,1077,3003,80.4
LRS SPANISH -> ACAP Spanish,7,11,16,34,0.9
LRS SPANISH -> ACAP PAs,3,4,4,11,0.3
LRS SPANISH -> DD LEGAL,1,4,3,8,0.2
OPERATOR ORLANDO -> LRS SPANISH,2,0,0,2,0.1
LRS SPANISH -> MEMBERSHIP RECORDS,0,1,1,2,0.1
ETHICS ATTY -> LRS SPANISH,1,0,0,1,0.0
LRS SPANISH -> ACAP Spanish -> AHC,1,0,0,1,0.0
LRS SPANISH -> AHC,1,0,0,1,0.0
LRS SPANISH -> SWITCHBOARD,1,0,0,1,0.0
WEBSITE -> DD LEGAL -> LRS SPANISH,0,1,0,1,0.0
AHC -> LRS SPANISH,0,1,0,1,0.0
MEMBERSHIP RECORDS -> LRS SPANISH,0,1,0,1,0.0
SWITCHBOARD -> LRS SPANISH,0,1,0,1,0.0
LRS SPANISH -> ACAP PAs -> ACAP ATTY,0,1,0,1,0.0
DD LEGAL -> LRS SPANISH,0,0,1,1,0.0
LRS SPANISH -> DD LEGAL -> ACAP Spanish,0,0,1,1,0.0
LRS SPANISH -> ETHICS SPT,0,0,1,1,0.0
LRS SPANISH -> FEE SEASON,0,0,1,1,0.0
LRS SPANISH -> ETHICS SPT -> ETHICS ATTY,0,0,1,1,0.0
