Path,Count
LRS,2500
ACAP PAs,1156
SWITCHBOARD,555
SWITCHBOARD ->  LRS,184
ACAP PAs ->  DD LEGAL,178
AHC,124
ACAP PAs ->  ACAP ATTY,109
DD LEGAL,104
LEGAL SPEC,102
SWITCHBOARD ->  ACAP PAs,81
ACAP PAs ->  LRS,77
SWITCHBOARD ->  ACCOUNTING,58
MEMBERSHIP RECORDS,54
SWITCHBOARD ->  AHC,53
SWITCHBOARD ->  DD LEGAL,50
SWITCHBOARD ->  MEMBERSHIP RECORDS,42
ACCOUNTING,39
SWITCHBOARD ->  LEGAL SPEC,37
DD LEGAL ->  ACAP PAs,20
ACCOUNTING ->  MEMBERSHIP RECORDS,17
FEE SEASON,16
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS,13
DD LEGAL ->  LRS,12
SWITCHBOARD ->  FEE SEASON,12
SWITCHBOARD ->  ETHICS ATTY,9
LEGAL SPEC ->  ACCOUNTING,9
SWITCHBOARD ->  ACAP PAs ->  DD LEGAL,7
ACAP PAs ->  DD LEGAL ->  AHC,7
MEMBERSHIP RECORDS ->  LEGAL SPEC,7
SWITCHBOARD ->  PRACTICE RESOURCE CENTER,6
LRS SPANISH,6
ACAP PAs ->  DD LEGAL ->  LRS,6
LRS ->  ACAP PAs,6
SWITCHBOARD ->  ACAP PAs ->  LRS,5
ACCOUNTING ->  LRS,4
SWITCHBOARD ->  WEBSITE,4
AHC ->  ACAP PAs,4
DD LEGAL ->  AHC,4
LEGAL SPEC ->  MEMBERSHIP RECORDS,4
SWITCHBOARD ->  ACAP PAs ->  ACAP ATTY,4
DD LEGAL ->  ACAP PAs ->  ACAP ATTY,4
DD LEGAL ->  LRS SPANISH,3
ACAP PAs ->  DD LEGAL ->  OPERATOR ORLANDO,3
WEBSITE,3
LEGAL SPEC ->  LRS,3
SWITCHBOARD ->  ETHICS SPT ->  ETHICS ATTY,3
MEMBERSHIP RECORDS ->  DD LEGAL,2
AHC ->  LRS,2
FEE SEASON ->  ACCOUNTING,2
ACAP PAs ->  DD LEGAL ->  ACAP ATTY,2
SWITCHBOARD ->  LEGAL SPEC ->  ACCOUNTING,2
MEMBERSHIP RECORDS ->  ACCOUNTING ->  LEGAL SPEC,2
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  DD LEGAL,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACCOUNTING,2
ACAP PAs ->  SWITCHBOARD,2
ACAP PAs ->  AHC,2
MEMBERSHIP RECORDS ->  ACAP PAs,2
SWITCHBOARD ->  ETHICS SPT,2
SWITCHBOARD ->  ACCOUNTING ->  LEGAL SPEC,2
SWITCHBOARD ->  FEE SEASON ->  ACCOUNTING,2
LEGAL SPEC ->  FEE SEASON ->  ACCOUNTING,2
SWITCHBOARD ->  WEBSITE ->  SERVICE DESK,1
DD LEGAL ->  SERVICE DESK ->  LEGAL SPEC,1
SWITCHBOARD ->  DD LEGAL ->  ACAP PAs,1
DD LEGAL ->  OPERATOR TAMPA,1
SWITCHBOARD ->  LRS ->  ETHICS SPT ->  ETHICS ATTY,1
ACAP PAs ->  MEMBERSHIP RECORDS,1
ETHICS ATTY ->  ACAP PAs,1
AHC ->  ACAP PAs ->  DD LEGAL,1
PRACTICE RESOURCE CENTER ->  AHC ->  MEMBERSHIP RECORDS,1
DD LEGAL ->  ETHICS ATTY,1
SWITCHBOARD ->  DD LEGAL ->  MEMBERSHIP RECORDS,1
SWITCHBOARD ->  ACCOUNTING ->  FEE SEASON,1
ACCOUNTING ->  FEE SEASON,1
DD LEGAL ->  MEMBERSHIP RECORDS,1
FEE SEASON ->  LEGAL SPEC,1
ACCOUNTING ->  ETHICS ATTY,1
SWITCHBOARD ->  ACCOUNTING ->  PRACTICE RESOURCE CENTER,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  DD LEGAL,1
MEMBERSHIP RECORDS ->  LEGAL SPEC ->  ACCOUNTING,1
ACCOUNTING ->  ACAP PAs ->  DD LEGAL ->  AHC,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  AHC,1
ACAP PAs ->  LRS ->  DD LEGAL,1
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  AHC,1
LRS ->  ACAP PAs ->  DD LEGAL,1
SWITCHBOARD ->  SERVICE DESK,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  PRACTICE RESOURCE CENTER,1
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  ETHICS ATTY,1
DD LEGAL ->  OPERATOR MIAMI,1
ACAP PAs ->  DD LEGAL ->  OPERATOR TAMPA,1
SWITCHBOARD ->  ACCOUNTING ->  DD LEGAL,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  DD LEGAL ->  ETHICS ATTY,1
SWITCHBOARD ->  FEE SEASON ->  ACCOUNTING ->  ETHICS SPT ->  LEGAL SPEC,1
SWITCHBOARD ->  DD LEGAL ->  LRS ->  OPERATOR ORLANDO,1
LEGAL SPEC ->  SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS,1
DD LEGAL ->  ACAP PAs ->  LRS,1
ACAP PAs ->  SWITCHBOARD ->  ACCOUNTING,1
AHC ->  LRS SPANISH,1
SWITCHBOARD ->  ETHICS SPT ->  AHC,1
LRS ->  ETHICS SPT,1
LRS ->  DD LEGAL ->  ETHICS ATTY ->  ETHICS SPT,1
MEMBERSHIP RECORDS ->  ACCOUNTING,1
DD LEGAL ->  ACCOUNTING ->  MEMBERSHIP RECORDS,1
LRS ->  ACAP PAs ->  ACAP ATTY,1
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  ETHICS SPT ->  ETHICS ATTY,1
ACCOUNTING ->  DD LEGAL,1
SWITCHBOARD ->  FEE SEASON ->  PRACTICE RESOURCE CENTER,1
DD LEGAL ->  ACAP PAs ->  AHC,1
LEGAL SPEC ->  AHC,1
ACAP PAs ->  DD LEGAL ->  PRACTICE RESOURCE CENTER,1
ACCOUNTING ->  AHC,1
SWITCHBOARD ->  LRS ->  ACAP PAs,1
LRS ->  AHC,1
LRS ->  DD LEGAL ->  ACAP PAs,1
FEE SEASON ->  ACAP PAs,1
SWITCHBOARD ->  LRS ->  DD LEGAL,1
SWITCHBOARD ->  AHC ->  MEMBERSHIP RECORDS,1
MEMBERSHIP RECORDS ->  AHC,1
SWITCHBOARD ->  LRS ->  LEGAL SPEC ->  ACCOUNTING,1
PRACTICE RESOURCE CENTER ->  MEMBERSHIP RECORDS,1
LEGAL SPEC ->  ACAP PAs,1
LRS ->  OPERATOR TAMPA ->  DD LEGAL,1
LRS ->  DD LEGAL,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  SERVICE DESK,1
LEGAL SPEC ->  LRS ->  DD LEGAL,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACAP PAs,1
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS ->  DD LEGAL,1
