Queue Value,April,May,June,Total,Pct Of Total
LRS,650,930,920,2500,26.4
ACAP PAs,306,424,426,1156,12.2
SWITCHBOARD,134,210,211,555,5.9
SWITCHBOARD; LRS,37,70,77,184,1.9
ACAP PAs; DD LEGAL,39,80,59,178,1.9
AHC,39,37,48,124,1.3
ACAP PAs; ACAP ATTY,31,37,41,109,1.2
DD LEGAL,23,34,47,104,1.1
LEGAL SPEC,33,28,41,102,1.1
SWITCHBOARD; ACAP PAs,17,37,27,81,0.9
ACAP PAs; LRS,11,35,31,77,0.8
SWITCHBOARD; ACCOUNTING,17,12,29,58,0.6
MEMBERSHIP RECORDS,14,17,23,54,0.6
SWITCHBOARD; AHC,20,11,22,53,0.6
SWITCHBOARD; DD LEGAL,12,19,19,50,0.5
SWITCHBOARD; MEMBERSHIP RECORDS,11,7,24,42,0.4
ACCOUNTING,8,11,20,39,0.4
SWITCHBOARD; LEGAL SPEC,4,16,17,37,0.4
DD LEGAL; ACAP PAs,6,9,5,20,0.2
ACCOUNTING; MEMBERSHIP RECORDS,2,5,10,17,0.2
FEE SEASON,1,8,7,16,0.2
SWITCHBOARD; ACCOUNTING; MEMBERSHIP RECORDS,3,4,6,13,0.1
SWITCHBOARD; FEE SEASON,2,5,5,12,0.1
DD LEGAL; LRS,2,4,6,12,0.1
SWITCHBOARD; ETHICS ATTY,1,2,6,9,0.1
LEGAL SPEC; ACCOUNTING,2,4,3,9,0.1
ACAP PAs; DD LEGAL; AHC,2,2,3,7,0.1
SWITCHBOARD; ACAP PAs; DD LEGAL,3,1,3,7,0.1
MEMBERSHIP RECORDS; LEGAL SPEC,0,4,3,7,0.1
ACAP PAs; DD LEGAL; LRS,1,2,3,6,0.1
