Disconnect Type,April,May,June,Total
Successful,1549,2093,2124,5766
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,879,1206,1174,3259
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service English In-Queue Flow,425,572,610,1607
Failed,378,590,607,1575
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,128,179,193,500
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,121,185,179,485
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,45,72,66,183
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service English In-Queue Flow,34,70,72,176
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,44,66,49,159
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,29,48,57,134
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Membership Records In-Queue Call Flow,28,28,34,90
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; DD Legal Schedule Check; DD Legal Menu Flow; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow,19,23,36,78
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,11,27,40,78
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,13,34,24,71
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,18,26,25,69
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LRS Menu Schedule Check; LRS Main Menu (Spanish or English); LRS English Main Menu; LRS English Direct to Queue; Lawyer Referral Service English In-Queue Flow,23,22,13,58
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; UPL Menu Schedule Check; UPL Menu; AHC Direct to Queue; AHC In-Queue Call Flow,16,13,24,53
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow,3,15,31,49
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service Spanish In-Queue Flow,18,11,18,47
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; UPL Menu Schedule Check; UPL Menu; AHC Direct to Queue; AHC In-Queue Call Flow,18,9,17,44
