Path,Count
SWITCHBOARD,4233
SWITCHBOARD ->  LRS,1875
SWITCHBOARD ->  ACAP PAs,625
SWITCHBOARD ->  MEMBERSHIP RECORDS,402
SWITCHBOARD ->  LEGAL SPEC,267
SWITCHBOARD ->  ACCOUNTING,210
SWITCHBOARD ->  DD LEGAL,149
SWITCHBOARD ->  AHC,113
SWITCHBOARD ->  FEE SEASON,77
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS,74
SWITCHBOARD ->  ETHICS ATTY,56
SWITCHBOARD ->  WEBSITE,49
SWITCHBOARD ->  LRS SPANISH,48
SWITCHBOARD ->  ACAP PAs ->  ACAP ATTY,44
SWITCHBOARD ->  ACAP PAs ->  DD LEGAL,33
SWITCHBOARD ->  LEGAL SPEC ->  ACCOUNTING,31
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  LEGAL SPEC,25
SWITCHBOARD ->  PRACTICE RESOURCE CENTER,24
SWITCHBOARD ->  ACAP PAs ->  LRS,22
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  DD LEGAL,17
SWITCHBOARD ->  FEE SEASON ->  ACCOUNTING,16
SWITCHBOARD ->  SERVICE DESK,13
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACCOUNTING,11
SWITCHBOARD ->  ETHICS SPT ->  ETHICS ATTY,8
SWITCHBOARD ->  DD LEGAL ->  ACAP PAs,7
SWITCHBOARD ->  LRS ->  ACAP PAs,7
SWITCHBOARD ->  ACCOUNTING ->  LEGAL SPEC,7
SWITCHBOARD ->  ETHICS SPT,5
SWITCHBOARD ->  LEGAL SPEC ->  FEE SEASON ->  ACCOUNTING,5
ACAP PAs ->  SWITCHBOARD,4
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS ->  PRACTICE RESOURCE CENTER,4
SWITCHBOARD ->  OPERATOR MIAMI,4
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  DD LEGAL,4
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACCOUNTING ->  LEGAL SPEC,4
SWITCHBOARD ->  ACCOUNTING ->  DD LEGAL,4
SWITCHBOARD ->  LEGAL SPEC ->  MEMBERSHIP RECORDS,3
SWITCHBOARD ->  ACAP PAs ->  DD LEGAL ->  AHC,3
SWITCHBOARD ->  DD LEGAL ->  MEMBERSHIP RECORDS,3
SWITCHBOARD ->  LRS ->  LRS SPANISH,3
SWITCHBOARD ->  WEBSITE ->  LEGAL SPEC,3
LRS ->  SWITCHBOARD,3
SWITCHBOARD ->  LRS ->  DD LEGAL,3
SWITCHBOARD ->  OPERATOR ORLANDO,2
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS ->  DD LEGAL,2
SWITCHBOARD ->  AHC ->  MEMBERSHIP RECORDS,2
SWITCHBOARD ->  ACAP Spanish,2
SWITCHBOARD ->  ACCOUNTING ->  SERVICE DESK,2
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  ETHICS ATTY,2
SWITCHBOARD ->  ACCOUNTING ->  FEE SEASON,2
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  ETHICS SPT ->  ETHICS ATTY,2
SWITCHBOARD ->  FEE SEASON ->  LEGAL SPEC,2
PRACTICE RESOURCE CENTER ->  SWITCHBOARD,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  AHC,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACAP PAs,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACAP PAs ->  ACAP ATTY,2
SWITCHBOARD ->  DD LEGAL ->  LRS,2
SWITCHBOARD ->  FEE SEASON ->  ACCOUNTING ->  LEGAL SPEC,2
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  DD LEGAL ->  ACAP PAs ->  ACAP ATTY,2
SWITCHBOARD ->  WEBSITE ->  SERVICE DESK,1
SWITCHBOARD ->  LRS ->  ETHICS SPT ->  ETHICS ATTY,1
SWITCHBOARD ->  ACCOUNTING ->  WEBSITE,1
SWITCHBOARD ->  ETHICS ATTY ->  AHC,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ETHICS ATTY,1
