Path,Count
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,3259
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service English In-Queue Flow,1607
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,500
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,485
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,183
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service English In-Queue Flow,176
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,159
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,134
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Membership Records In-Queue Call Flow,90
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; DD Legal Schedule Check; DD Legal Menu Flow; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow,78
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,78
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,71
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,69
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LRS Menu Schedule Check; LRS Main Menu (Spanish or English); LRS English Main Menu; LRS English Direct to Queue; Lawyer Referral Service English In-Queue Flow,58
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; UPL Menu Schedule Check; UPL Menu; AHC Direct to Queue; AHC In-Queue Call Flow,53
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow,49
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Lawyer Referral Service Spanish In-Queue Flow,47
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; UPL Menu Schedule Check; UPL Menu; AHC Direct to Queue; AHC In-Queue Call Flow,44
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,40
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow; ACAP Attorney In-Queue Flow,39
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Website Direct to Queue; Website In-Queue Call Flow,37
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Membership Records In-Queue Call Flow,34
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,33
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; DD Legal Schedule Check; DD Legal Menu Flow; DD Legal Direct to Queue; DD Legal Queue Number Check; Division Director Legal In-Queue Flow,32
ACAP Menu Schedule Check; ACAP PA Queue 8-9 5-530; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,32
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow,31
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,31
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Ethics Menu Schedule Check; Ethics Menu; Ethics ATTY Direct to Queue; Ethics Attorney In-Queue Flow,29
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting In-Queue Call Flow,29
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue,27
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Communications Direct to Group,26
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,22
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow; Membership Records Direct to Queue; Membership Records In-Queue Call Flow,22
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; LSE Menu Schedule Check; LSE Menu; LSE Direct to Queue; LSE In-Queue Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow,21
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Bar Switchboard Holiday Flow,19
Accounting Menu Schedule Check; Accounting Menu Flow; Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow,18
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow; Division Director Legal In-Queue Flow,17
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow,16
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow; Membership Records In-Queue Call Flow,16
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow,14
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; ACAP Menu Schedule Check; ACAP Menu; ACAP PA Direct to Queue; ACAP PAs In-Queue flow; Lawyer Referral Service English In-Queue Flow,14
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Fee Season Direct to Queue; Fee Season In-Queue Call Flow,12
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Non-ATTY Sub Menu Option; Bar Switchboard Non-Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting In-Queue Call Flow,12
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Practice Resource Center Menu Schedule Check; Practice Resource Center Menu; Practice Resource Center In-Queue Flow,12
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Ethics Menu Schedule Check; Ethics Menu; Ethics ATTY Direct to Queue; Ethics Attorney In-Queue Flow,11
Bar Switchboard Schedule Check; Bar Switchboard Main Flow; Bar Switchboard ATTY Sub Menu Option; Bar Switchboard Attorney Submenu; Bar Switchboard Direct to Queue; Switchboard In-Queue Call Flow; Accounting Menu Schedule Check; Accounting Menu Flow; Accounting Direct to Queue; Accounting In-Queue Call Flow; Membership Records In-Queue Call Flow,11
