Queue Value,April,May,June,Total,Pct Of Total
SWITCHBOARD,1139,1577,1517,4233,49.1
SWITCHBOARD; LRS,492,675,708,1875,21.8
SWITCHBOARD; ACAP PAs,152,226,247,625,7.3
SWITCHBOARD; MEMBERSHIP RECORDS,103,134,165,402,4.7
SWITCHBOARD; LEGAL SPEC,64,107,96,267,3.1
SWITCHBOARD; ACCOUNTING,37,58,115,210,2.4
SWITCHBOARD; DD LEGAL,37,47,65,149,1.7
SWITCHBOARD; AHC,38,27,48,113,1.3
SWITCHBOARD; FEE SEASON,9,25,43,77,0.9
SWITCHBOARD; ACCOUNTING; MEMBERSHIP RECORDS,15,28,31,74,0.9
SWITCHBOARD; ETHICS ATTY,13,21,22,56,0.6
SWITCHBOARD; WEBSITE,5,16,28,49,0.6
SWITCHBOARD; LRS SPANISH,18,12,18,48,0.6
SWITCHBOARD; ACAP PAs; ACAP ATTY,5,19,20,44,0.5
SWITCHBOARD; ACAP PAs; DD LEGAL,8,9,16,33,0.4
SWITCHBOARD; LEGAL SPEC; ACCOUNTING,7,14,10,31,0.4
SWITCHBOARD; MEMBERSHIP RECORDS; LEGAL SPEC,9,11,5,25,0.3
SWITCHBOARD; PRACTICE RESOURCE CENTER,5,4,15,24,0.3
SWITCHBOARD; ACAP PAs; LRS,2,10,10,22,0.3
SWITCHBOARD; MEMBERSHIP RECORDS; DD LEGAL,4,9,4,17,0.2
SWITCHBOARD; FEE SEASON; ACCOUNTING,4,6,6,16,0.2
SWITCHBOARD; SERVICE DESK,3,4,6,13,0.2
SWITCHBOARD; MEMBERSHIP RECORDS; ACCOUNTING,0,7,4,11,0.1
SWITCHBOARD; ETHICS SPT; ETHICS ATTY,3,0,5,8,0.1
SWITCHBOARD; LRS; ACAP PAs,3,2,2,7,0.1
SWITCHBOARD; ACCOUNTING; LEGAL SPEC,3,3,1,7,0.1
SWITCHBOARD; DD LEGAL; ACAP PAs,2,4,1,7,0.1
SWITCHBOARD; LEGAL SPEC; FEE SEASON; ACCOUNTING,3,2,0,5,0.1
SWITCHBOARD; ETHICS SPT,2,2,1,5,0.1
SWITCHBOARD; PRACTICE RESOURCE CENTER; DD LEGAL,1,2,1,4,0.0
